rating,comment
5,"Đúng với mô tả:đúng như mô tả
Chất lượng sản phẩm:chưa dùng nên chưa đánh giá

Đóng gói cẩn thận 
Giao hàng nhanh
Kính dày dặn"
5,"Chất lượng sản phẩm:tốt
Đúng với mô tả:đúng mẫu hàng

Sản phẩm giao hàng đúng mẫu, đúng mô tả, ship nhiệt tình, nhanh nhẹn. Sẽ ủng hộ shop trong những lần sau"
5,"Đã nhận hàng shop gửi, đóng gói cẩn thận gửi hàng nhanh, giao hàng thân thiện. Chưa dán thực tế nhưng nhìn bên ngoài ổn. Để lắp chịp ảnh thực tế gửi lại shop sau. Sẽ còn ủng hộ. Thanks!!!"
5,sp oke đóng gói cẩn thận. chưa test độ chống nhìn trộm nên chưa rõ
5,"Chất lượng sản phẩm:rất ok
Đúng với mô tả:chuẩn không phải chỉnh

Giao hàng nhanh chất lượng thì phải đợi rơi vài lần thì mới biết được
Đúng màu mong muốn🤪🤪🤪🤪🤪😂😂😂😂😂😂😂💪💪💪💪💪"
5,"Đúng với mô tả:chuẩn
Chất lượng sản phẩm:good

hàng giao nhanh, hàng chuẩn và tốttt , uy tínn 
dán cũng dễ nhaaa đủ combo luônnn 🤣"
5,"Đã nhận được hàng shop gửi, hàng đóng gói cẩn thận, giao hàng thân thiện. Sản phẩm ổn nên ủng hộ shop thêm. Thanks shop! Sẽ còn mua thêm"
5,"Chất lượng sản phẩm:tUyệt vời

Đúng mô tả, giao hàng nhanh
Nhân vuên thân thiện, nhiệt tình
GHN nhân viên phucvụ tốt"
5,"Giao hàng nhanh. Đóng gói ổn. Chất liệu mỏng, chưa dùng nên chưa biết"
5,"Chất lượng sản phẩm:tốt
Đúng với mô tả:đúng

Đóng gói hàng ok. Sp đúng mô tả. Đẹp hơn trên hình. 2 loại đều ok. 10đ"
4,"Gao hàng nhanh, đóng gói cẩn thận. Tuy nhiên chất lượng chưa ưng ý vid còn bị nhoè. Phù hợp với giá tiền"
