rating,comment
5,"Công dụng:đẹp

Son rất đẹp . Shop tư vấn nhiệt tình. Shipper thân thiện . Giao hàng nhanh. Sản phẩm tuyệt vời. Sẽ ủng hộ shop nhiều hơn nữa."
5,"Công dụng:son môi
Độ bền màu:i don't know

màu 25 thì xinh khỏi bàn r nha
mùi thơm như thạch nho
tông màu trầm ưng ghê 
❤️😘😘"
5,"Công dụng:làm đẹp

Màu son đẹp dịu nhẹ, mùi son hơi nồng 1 xíu nhưng thơm và bay nhanh, son vẫn giữ được 1 lớp nhẹ nhẹ khi ăn uống. Màu này sáng da nha. Rát thích ạ"
5,"Công dụng:son môi
Độ bền màu:bền

Chất lượng sản phẩm tuyệt vời đóng gói hàng đẹp và chắc chắn shop phục vụ rất tốt đáng tiền mua nha mọi người thời gian giao hàng nhanh chóng."
5,"Công dụng:son môi

Màu này thì quá xuất sắc r ko có chỗ chê luôn cầm khá chắc tay vỏ nhám mùi thì ngọt ko hắc mùi hóa học"
5,"Công dụng:màu lên chuẩn, đẹp
Kết cấu:đặc
Độ bền màu:sau khi ăn xong son chỉ trôi 1 ít

Mùi son giống mùi nho, thơm lắm, chất son đặc nhưng dễ tán, lên màu chuẩn 💖🤣👌 tôn da lắm ạ"
5,"Kết cấu:lỏng
Độ bền màu:tốt

Màu đẹp lắm nha , son xinh lắm luôn í đóng gói đẹp chắc chắn , giao hàng nhanh từ hcm mà ra hp mình kh nghĩ là nhanh thế đâu í , mình sẽ ủng hộ shop thêm"
5,"Công dụng:bôi son
Độ bền màu:10/10 lunnn

giao hàng nhanh lắm ạ,son đẹp xỉuu màu lên em ưng lắm ạ,em có bôi thử ra tay và lau đi thì lớp tint còn lại vẫn đẹp lắm ạ"
5,Son thơm lắm m.n ơi . Đúng hàng chính hãng luôn ạ . Mịn môi lắm nà ..sẽ ủng hộ dài dàii❤❤❤ đóng gói rất đẹp
5,"Công dụng:sOn môiii
Độ bền màu:ổnnnnnn

Son thơm lắm nun ikk,mua vs giá hời 1 chút và màu quốc dân r thì ko chê đc"
5,"Công dụng:son, làm đẹp
Độ bền màu:màu đẹp lắm , chưa sd nên chưa biết thế nào

Giao hàng nhanh và đóng gói rất cẩn thận và chắc chắn và đẹp. Giao đúng mẫu mã,màu son rất cưng, đẹp lắm ạ. M sẽ ủng hộ tiếp lần sau"
5,"Công dụng:rất đẹp
Độ bền màu:đỏ đất 25

Đẹp lắm nha shop ơi giao đúng ngày nữa tes thử lên môi đẹp lắm nha làm bậc tông da lên"
5,"Công dụng:để tô lên môi

Đóng gói cẩn thận,son màu khá xinh"
5,"Công dụng:son
Độ bền màu:rất ok

Shop giao nhanh, sp đóng gõi kĩ càng, cẩn thận ko bóp méo, chất son thơm mịn lì, màu siêu đẹp luôn ạ"
